,Team,Matchups Score,League,Color
182,Canada Demon,83.0,I,"rgb(173,65,0)"
183,G-Town DownTowners,82.5,C,"rgb(173,64,0)"
184,Josh Kiddey,80.5,D,"rgb(175,63,0)"
185,Weekend at Boogie's,80.5,C,"rgb(175,63,0)"
186,Insert Team Name Here,79.0,K,"rgb(177,61,0)"
187,Aussie Goats,78.0,M,"rgb(178,61,0)"
188,HARDEN UP!,77.0,B,"rgb(179,60,0)"
189,The Mighty Bears,75.0,D,"rgb(181,58,0)"
190,Bames Jond,74.5,L,"rgb(181,58,0)"
191,Big Bam Theory,73.5,M,"rgb(182,57,0)"
192,Mile High Mutombo's,73.5,H,"rgb(182,57,0)"
193,Taiwan Troopers,73.5,M,"rgb(182,57,0)"
194,VICTOR-IOUS,73.5,B,"rgb(182,57,0)"
195,Asian Zing,71.0,M,"rgb(185,55,0)"
196,Houston Mob Squad,69.5,B,"rgb(186,54,0)"
197,Team Alcobio,69.5,L,"rgb(186,54,0)"
198,Team Blah,69.5,M,"rgb(186,54,0)"
199,New York NateThrobinsons,67.5,B,"rgb(188,52,0)"
200,Seattle SuperChronics,67.0,H,"rgb(189,52,0)"
201,Boswell Pioneers,66.0,A,"rgb(190,51,0)"
202,North Noosa Leather Jackets,65.5,A,"rgb(190,51,0)"
203,Splash Bros 3011,65.0,G,"rgb(191,50,0)"
204,FIGJAM,64.5,L,"rgb(191,50,0)"
205,Team Ashton,64.5,L,"rgb(191,50,0)"
206,Kobe Wan Kenobi,64.0,F,"rgb(192,50,0)"
207,Landsdale Smith,63.5,K,"rgb(192,49,0)"
208,OG Tassie Devils,63.0,D,"rgb(193,49,0)"
209,Tennant Creek Big Horses,63.0,I,"rgb(193,49,0)"
210,Phoenix Gray Hammers,61.0,B,"rgb(195,47,0)"
211,Signature Moves,61.0,I,"rgb(195,47,0)"
212,The Great Hali,61.0,H,"rgb(195,47,0)"
213,JR  Swishes,60.5,D,"rgb(195,47,0)"
214,Bair Jordan,59.0,D,"rgb(197,46,0)"
215,I Felton Her Booby,57.0,D,"rgb(199,44,0)"
216,Flint Tropics,56.5,M,"rgb(199,44,0)"
217,The David Cahill's,54.0,K,"rgb(202,42,0)"
218,Average  Joes,53.5,D,"rgb(202,41,0)"
219,$picy ball,53.0,L,"rgb(203,41,0)"
220,Bruce brown-eye,52.5,C,"rgb(203,41,0)"
221,Gaza Gunners,52.0,C,"rgb(204,40,0)"
222,Team Cumming,48.0,H,"rgb(208,37,0)"
223,Daryl's Discount Dimes,47.0,E,"rgb(209,36,0)"
224,Ben Simmons Construction,45.0,G,"rgb(211,35,0)"
225,GIDDEY UPS - MAILMAN 2.0,43.5,L,"rgb(212,33,0)"
226,Jazzy J,42.5,I,"rgb(213,33,0)"
227,Desmond’s  Dynasty,38.5,J,"rgb(217,29,0)"
228,Boots Manuva,38.0,E,"rgb(218,29,0)"
229,Round Mound of Rebound,37.0,J,"rgb(219,28,0)"
230,Chi Cargo Pants,35.5,A,"rgb(220,27,0)"
231,Lick DeBallZachs,35.0,D,"rgb(221,27,0)"
232,Saint Lunatics,35.0,G,"rgb(221,27,0)"
233,Down Right Sneaky,34.0,J,"rgb(222,26,0)"
234,Margaret River Wyld Stallyns,34.0,E,"rgb(222,26,0)"
235,Mr. 4th Quarter,31.5,M,"rgb(224,24,0)"
236,Little Buff Boys,30.0,A,"rgb(226,23,0)"
237,Please Hammer don't Huerter,30.0,G,"rgb(226,23,0)"
238,All the  Ingles ladies,29.0,J,"rgb(227,22,0)"
239,GOLD COAST  GREMLINS,29.0,C,"rgb(227,22,0)"
240,Champ is here,28.5,E,"rgb(227,22,0)"
241,Rodney Rodgers,26.5,K,"rgb(229,20,0)"
242,Embiid's Flavour Town,26.0,I,"rgb(230,20,0)"
243,Holy Klay-Noli's,24.0,J,"rgb(232,18,0)"
244,It's Always F'd In Philadelphia,20.5,E,"rgb(235,15,0)"
245,Lil Bow Yaus,17.0,J,"rgb(239,13,0)"
246,Team Nicholson,16.0,C,"rgb(240,12,0)"
247,Dallas Double D's,15.0,A,"rgb(241,11,0)"
248,Bunbury  Munno23,13.5,K,"rgb(242,10,0)"
249,Allen In Shorts,12.0,F,"rgb(244,9,0)"
250,MrPenPen,12.0,K,"rgb(244,9,0)"
251,DurdyDurdsDuds,9.5,D,"rgb(246,7,0)"
252,Re dirkulous,9.5,I,"rgb(246,7,0)"
253,Slim Towers,9.5,E,"rgb(246,7,0)"
254,pingu123,8.5,J,"rgb(247,6,0)"
255,Meep Meep,6.0,I,"rgb(250,4,0)"
256,Shanghai  Sharks,3.5,H,"rgb(252,2,0)"
257,Arizoey Magic,3.0,G,"rgb(253,1,0)"
258,Knock the  Toppin off,1.0,C,"rgb(255,0,0)"
259,Bird Sprog,0.5,K,"rgb(255,0,0)"
