,Team,Matchups Score,League,Color
0,The Gee Whizzles,254.0,I,"rgb(0,200,0)"
1,LIL UZI YURT,252.0,E,"rgb(3,198,0)"
2,War Grimes in Garza,250.5,A,"rgb(4,197,0)"
3,Funghi Curry,247.0,H,"rgb(8,194,0)"
4,'22 Spirit,246.5,D,"rgb(8,194,0)"
5,Dort Stop Believin,246.5,C,"rgb(8,194,0)"
6,BoxHill Benny's Brickies,246.0,A,"rgb(9,193,0)"
7,BigZ Spurs,244.0,G,"rgb(11,192,0)"
8,Darwin Esky,243.5,L,"rgb(11,191,0)"
9,50 Shades of Shai,243.0,A,"rgb(12,191,0)"
10,Good Problems,241.5,K,"rgb(13,190,0)"
11,Jimmy ButtPlugs,241.0,E,"rgb(14,189,0)"
12,Atlanta  Waivers,240.5,D,"rgb(14,189,0)"
13,Bronsexual Lebrolites,238.5,J,"rgb(16,187,0)"
14,Wandering Bears,238.5,D,"rgb(16,187,0)"
15,Rated PG13,238.0,L,"rgb(17,187,0)"
16,Mo' Money Mo Bamba,237.0,I,"rgb(18,186,0)"
17,Keyonte George  Costanza,236.5,J,"rgb(18,186,0)"
18,The IBINATORS,236.0,H,"rgb(19,185,0)"
19,Ja 'his real name is Clarence',235.0,C,"rgb(20,185,0)"
20,Team James,232.5,E,"rgb(22,183,0)"
21,Allen Iversons Ego,231.5,I,"rgb(23,182,0)"
22,OKC-OOPS,230.5,L,"rgb(24,181,0)"
23,Wembanyama but 5'10,230.5,J,"rgb(24,181,0)"
24,Boston Beer Bellies,226.5,A,"rgb(28,178,0)"
25,Pablo's Players,225.0,K,"rgb(30,177,0)"
26,Wham Bam Thankyou Ma’am,223.0,K,"rgb(32,175,0)"
27,HotDawgs,221.5,M,"rgb(33,174,0)"
28,Lewisham Loose Units,221.5,B,"rgb(33,174,0)"
29,Motor Cade,221.5,H,"rgb(33,174,0)"
30,Shanghai Sharks,216.5,M,"rgb(38,170,0)"
31,Helltown  Hops,216.0,H,"rgb(39,170,0)"
32,Shwin's Ballsdeep,216.0,L,"rgb(39,170,0)"
33,Flex n Affect,213.5,E,"rgb(41,168,0)"
34,The Hairy Skips,213.5,H,"rgb(41,168,0)"
35,Taco Corp,210.0,A,"rgb(45,165,0)"
36,Mos Eisley Banthas,209.5,C,"rgb(45,164,0)"
37,ESU,209.0,L,"rgb(46,164,0)"
38,Brooklyn 99,207.0,A,"rgb(48,162,0)"
39,The Flaming Galahs,205.5,C,"rgb(49,161,0)"
40,LA Anthony Day-to-Davis,204.5,B,"rgb(50,160,0)"
41,Browntown,204.0,M,"rgb(51,160,0)"
42,Sideline Out of Bounds,203.5,K,"rgb(51,160,0)"
43,Adelaide Shed Shots,203.0,E,"rgb(52,159,0)"
44,Frank Reynolds,203.0,K,"rgb(52,159,0)"
45,Couch potatoes,200.5,F,"rgb(54,157,0)"
46,Miami Heat Checks,200.5,A,"rgb(54,157,0)"
47,New Orleans Zionlyfans,200.5,C,"rgb(54,157,0)"
48,Ja Raffe,199.5,M,"rgb(55,157,0)"
49,Team irwin,197.5,C,"rgb(57,155,0)"
50,BIG BULLS,196.5,M,"rgb(58,154,0)"
51,The Book of  Irving,196.5,I,"rgb(58,154,0)"
52,Revenge of  The Cedi,196.0,H,"rgb(59,154,0)"
53,Moon Shooters,195.0,D,"rgb(60,153,0)"
54,nutted In her Gasol,194.0,E,"rgb(61,152,0)"
55,Red Dragons,193.5,G,"rgb(61,152,0)"
56,Bank Town Squids,192.0,B,"rgb(63,151,0)"
57,Luka Warm,191.5,G,"rgb(63,150,0)"
58,Team Z3LLY,191.5,I,"rgb(63,150,0)"
59,punting  everything,191.5,G,"rgb(63,150,0)"
60,Team Rah to the Max,190.5,F,"rgb(64,149,0)"
61,Boston Bombers,189.5,C,"rgb(65,149,0)"
62,Team Mercer,188.0,M,"rgb(67,147,0)"
63,Sleepers,184.5,J,"rgb(70,145,0)"
64,Peeattle Poopersonics,183.5,J,"rgb(71,144,0)"
65,Caruso BaldEagles,182.0,I,"rgb(73,143,0)"
66,Jaylen CAN go left!,181.0,J,"rgb(74,142,0)"
67,Ol' Dirty Baskets,179.0,B,"rgb(76,140,0)"
68,Panania Rockets,177.5,D,"rgb(77,139,0)"
69,Team luka slo,177.0,D,"rgb(78,139,0)"
70,Karl Anthony's CLOWNS,176.5,F,"rgb(78,138,0)"
71,Quit Javing me turky,176.0,G,"rgb(79,138,0)"
72,Wizbangs' Warriors,175.5,D,"rgb(79,138,0)"
73,Fox Force 5,175.0,J,"rgb(80,137,0)"
74,Mamba Mentality,175.0,E,"rgb(80,137,0)"
75,SavedByTheKelle,174.5,C,"rgb(80,137,0)"
76,The Plasticman,173.5,K,"rgb(81,136,0)"
77,Hispanic Deepers,172.0,J,"rgb(83,135,0)"
78,The Sengunies,172.0,F,"rgb(83,135,0)"
79,Beau_Brigade,171.5,J,"rgb(83,134,0)"
80,Team Becks,171.5,G,"rgb(83,134,0)"
81,It’s the Final  KAT-Towns,171.0,G,"rgb(84,134,0)"
82,Preying Domantas,171.0,F,"rgb(84,134,0)"
83,James and the Giant Overreach,170.5,H,"rgb(84,134,0)"
84,TankCity Unicorns,170.5,C,"rgb(84,134,0)"
85,Duncans Donuts,167.0,G,"rgb(88,131,0)"
86,My team sucks. Damn.,165.5,I,"rgb(90,130,0)"
87,Jinja Go Bear,165.0,C,"rgb(90,129,0)"
88,The Bricks,165.0,G,"rgb(90,129,0)"
89,DominAyton Curry,164.5,L,"rgb(91,129,0)"
90,Team Hewish,164.5,M,"rgb(91,129,0)"
91,Luka Deez Nuts,164.0,F,"rgb(91,128,0)"
92,T-I-M….Team!!,164.0,M,"rgb(91,128,0)"
93,The A**L Embiids,163.5,B,"rgb(92,128,0)"
94,Team Wallace,159.5,I,"rgb(96,125,0)"
95,Kripsy Strips Porzingerbox,159.0,J,"rgb(96,125,0)"
96,WORST EVER,158.5,G,"rgb(97,124,0)"
97,Hard Solo,157.0,B,"rgb(98,123,0)"
98,Team Pyke,157.0,F,"rgb(98,123,0)"
99,Uncle Ben,157.0,G,"rgb(98,123,0)"
100,ChixnGrog,154.5,D,"rgb(101,121,0)"
101,Diamond  D Dynasty,154.5,E,"rgb(101,121,0)"
102,Team Cooke,154.5,B,"rgb(101,121,0)"
103,Joe Hablo Ingles,153.0,K,"rgb(102,120,0)"
104,Globetrotter Gunts,152.0,K,"rgb(103,119,0)"
105,The Blue Mountain Goats,151.5,C,"rgb(104,119,0)"
106,Brunson Burner,151.0,M,"rgb(104,118,0)"
107,Jazz,149.0,A,"rgb(106,117,0)"
108,Kingcalvin,149.0,L,"rgb(106,117,0)"
109,Who what where when Kawhi,148.0,L,"rgb(107,116,0)"
110,OnlyFranz,147.0,F,"rgb(108,115,0)"
111,Temporary Linsanity,146.5,L,"rgb(109,115,0)"
112,Zions Illegitimate Child,146.0,B,"rgb(109,114,0)"
113,Rikroller,145.5,E,"rgb(110,114,0)"
114,LaMarc Gasoldridge,145.0,K,"rgb(110,114,0)"
115,Don't Go Blakin My Heart,144.5,H,"rgb(111,113,0)"
116,Fresh Prince  FP,144.5,G,"rgb(111,113,0)"
117,Joeys Mad Lads,143.5,F,"rgb(112,112,0)"
118,Lukatmenowmum,143.0,C,"rgb(112,112,0)"
119,Scottie Pippings,142.5,F,"rgb(113,112,0)"
120,Boomtown Bulls,142.0,K,"rgb(113,111,0)"
121,The Shrimp Nets,142.0,F,"rgb(113,111,0)"
122,Murphys Misfits,138.5,H,"rgb(117,108,0)"
123,Greek Freaks,136.5,D,"rgb(119,107,0)"
124,In Touch With The Common Man,134.0,I,"rgb(121,105,0)"
125,Philderbeasts,133.0,I,"rgb(122,104,0)"
126,Giddey Up Chumps,132.5,F,"rgb(123,104,0)"
127,Triple Towers,132.5,L,"rgb(123,104,0)"
128,Cossi's Carnts,132.0,D,"rgb(123,103,0)"
129,Brisbane Noble’s Nobs,130.5,B,"rgb(125,102,0)"
130,Kobe Beans,130.5,J,"rgb(125,102,0)"
131,Townsville Crocs,130.5,F,"rgb(125,102,0)"
132,Plumlees Crack,129.5,B,"rgb(126,101,0)"
133,Doris' Big Old Giddies,128.5,D,"rgb(127,100,0)"
134,The Chet Code,127.5,M,"rgb(128,100,0)"
135,Victor Oladeepthr*ats,126.0,B,"rgb(129,99,0)"
136,Balls Deep,125.0,M,"rgb(130,98,0)"
137,On The  Bagleys,124.5,I,"rgb(131,97,0)"
138,Eastcoast  Losers,124.0,E,"rgb(131,97,0)"
139,Minnesota  Lumberjacks,123.5,A,"rgb(132,97,0)"
140,Seattle Superchronics,123.5,G,"rgb(132,97,0)"
141,Team Winchester,123.0,B,"rgb(132,96,0)"
142,Under my  Clint Capela,121.5,H,"rgb(134,95,0)"
143,Team No Lackin,121.0,G,"rgb(134,95,0)"
144,Valentuna Sandwhich,119.5,M,"rgb(136,93,0)"
145,KJ's DM's,118.5,I,"rgb(137,93,0)"
146,OG Wan Unobi,118.5,H,"rgb(137,93,0)"
147,Team Damon,118.5,H,"rgb(137,93,0)"
148,Gladysisahoe Dazz,118.0,F,"rgb(137,92,0)"
149,Indiana Monstars,117.5,A,"rgb(138,92,0)"
150,DY PJ  Birch,116.5,E,"rgb(139,91,0)"
151,Jackie Daytona,116.5,K,"rgb(139,91,0)"
152,You Don't Mess with the Ant-Man,116.0,A,"rgb(139,91,0)"
153,AY JARAMBA!,115.0,E,"rgb(140,90,0)"
154,Flint Michigan tropics,115.0,L,"rgb(140,90,0)"
155,Jimmy Brings,113.0,A,"rgb(142,88,0)"
156,"Brooks, Crooks and Sooks",109.0,F,"rgb(146,85,0)"
157,Lucky Punters,109.0,B,"rgb(146,85,0)"
158,Slovenia. Beer. Dallas,108.0,L,"rgb(147,84,0)"
159,Sweet Home Wembanyama,107.5,A,"rgb(148,84,0)"
160,The Snack Randolphs,107.0,L,"rgb(148,84,0)"
161,Memphis 12 Guage,106.5,A,"rgb(149,83,0)"
162,Miami Butlers,106.5,B,"rgb(149,83,0)"
163,Its on like  Doncic Kong,106.0,H,"rgb(149,83,0)"
164,Donnys Beans,104.0,J,"rgb(151,81,0)"
165,Logan Bogans,103.5,K,"rgb(152,81,0)"
166,ROUdiamondGH,100.0,H,"rgb(155,78,0)"
167,Matisse Fly Bulls,99.0,J,"rgb(156,77,0)"
168,Boston Ballerz,97.5,B,"rgb(158,76,0)"
169,Livin' La Vida Luka,95.0,E,"rgb(160,74,0)"
170,Harrison the league,93.5,F,"rgb(162,73,0)"
171,ANUS BLEACHING SEA LIONS,93.0,K,"rgb(162,72,0)"
172,Yippie Kyrie Motherf**ker,93.0,A,"rgb(162,72,0)"
173,Los Angeles Ballerz,92.0,F,"rgb(163,72,0)"
174,Ben Simmons For 3,91.5,M,"rgb(164,71,0)"
175,H I,91.0,H,"rgb(164,71,0)"
176,Bench Boys,90.5,C,"rgb(165,71,0)"
177,Edward St Easybeats,90.5,E,"rgb(165,71,0)"
178,KING JAMIS,88.5,G,"rgb(167,69,0)"
179,Moves Like Agger,87.0,L,"rgb(168,68,0)"
180,FrostyFlyers,85.0,F,"rgb(170,66,0)"
181,The Wrath,84.0,I,"rgb(172,65,0)"
