,Team,Matchups Score,League,Color
67,Jackie Daytona,187.0,K,"rgb(70,145,0)"
68,The Mighty Bears,187.0,D,"rgb(70,145,0)"
69,Taco Corp,186.0,A,"rgb(71,144,0)"
70,KING JAMIS,184.5,G,"rgb(73,143,0)"
71,Rikroller,184.0,E,"rgb(73,142,0)"
72,HARDEN UP!,183.5,B,"rgb(74,142,0)"
73,Flint Tropics,183.0,M,"rgb(74,142,0)"
74,WORST EVER,182.0,G,"rgb(75,141,0)"
75,OG Wan Unobi,181.5,H,"rgb(76,141,0)"
76,Moves Like Agger,181.0,L,"rgb(76,140,0)"
77,The Hairy Skips,181.0,H,"rgb(76,140,0)"
78,Daryl's Discount Dimes,180.5,E,"rgb(77,140,0)"
79,DY PJ  Birch,179.5,E,"rgb(78,139,0)"
80,Brunson Burner,179.0,M,"rgb(78,139,0)"
81,Darwin Esky,178.5,L,"rgb(79,138,0)"
82,Good Problems,177.5,K,"rgb(80,137,0)"
83,Under my  Clint Capela,176.0,H,"rgb(81,136,0)"
84,It's Always F'd In Philadelphia,170.0,E,"rgb(87,132,0)"
85,Peeattle Poopersonics,170.0,J,"rgb(87,132,0)"
86,Frank Reynolds,169.5,K,"rgb(88,131,0)"
87,Ja Raffe,168.0,M,"rgb(89,130,0)"
88,Memphis 12 Guage,164.5,A,"rgb(93,127,0)"
89,OG Tassie Devils,164.0,D,"rgb(93,127,0)"
90,Team Becks,163.0,G,"rgb(94,126,0)"
91,The Snack Randolphs,161.0,L,"rgb(96,125,0)"
92,Duncans Donuts,158.0,G,"rgb(99,122,0)"
93,Preying Domantas,157.5,F,"rgb(100,122,0)"
94,New Orleans Zionlyfans,155.0,C,"rgb(102,120,0)"
95,Boomtown Bulls,153.5,K,"rgb(104,119,0)"
96,AY JARAMBA!,153.0,E,"rgb(104,118,0)"
97,Re dirkulous,152.5,I,"rgb(105,118,0)"
98,I Felton Her Booby,150.5,D,"rgb(107,116,0)"
99,$picy ball,149.5,L,"rgb(108,116,0)"
100,Team Winchester,149.0,B,"rgb(108,115,0)"
101,Karl Anthony's CLOWNS,147.5,F,"rgb(110,114,0)"
102,DominAyton Curry,146.0,L,"rgb(111,113,0)"
103,James and the Giant Overreach,144.5,H,"rgb(113,112,0)"
104,OKC-OOPS,144.0,L,"rgb(113,111,0)"
105,Triple Towers,141.5,L,"rgb(116,109,0)"
106,In Touch With The Common Man,140.0,I,"rgb(117,108,0)"
107,H I,138.5,H,"rgb(119,107,0)"
108,DurdyDurdsDuds,138.0,D,"rgb(119,107,0)"
109,Funghi Curry,137.5,H,"rgb(120,106,0)"
110,Signature Moves,134.0,I,"rgb(123,103,0)"
111,Diamond  D Dynasty,133.5,E,"rgb(124,103,0)"
112,Jazzy J,133.5,I,"rgb(124,103,0)"
113,Team luka slo,133.5,D,"rgb(124,103,0)"
114,Team Blah,133.0,M,"rgb(124,103,0)"
115,Bench Boys,132.0,C,"rgb(125,102,0)"
116,Team Cumming,132.0,H,"rgb(125,102,0)"
117,Flex n Affect,131.5,E,"rgb(126,101,0)"
118,Down Right Sneaky,131.0,J,"rgb(126,101,0)"
119,Lick DeBallZachs,131.0,D,"rgb(126,101,0)"
120,Globetrotter Gunts,130.0,K,"rgb(127,100,0)"
121,Caruso BaldEagles,129.5,I,"rgb(128,100,0)"
122,Kripsy Strips Porzingerbox,129.5,J,"rgb(128,100,0)"
123,Allen In Shorts,128.5,F,"rgb(128,99,0)"
124,GOLD COAST  GREMLINS,128.0,C,"rgb(129,99,0)"
125,Its on like  Doncic Kong,127.5,H,"rgb(129,98,0)"
126,ESU,127.0,L,"rgb(130,98,0)"
127,Yippie Kyrie Motherf**ker,127.0,A,"rgb(130,98,0)"
128,Lewisham Loose Units,125.5,B,"rgb(131,97,0)"
129,Helltown  Hops,125.0,H,"rgb(132,96,0)"
130,OnlyFranz,125.0,F,"rgb(132,96,0)"
131,Harrison the league,124.0,F,"rgb(133,96,0)"
132,Panania Rockets,120.5,D,"rgb(136,93,0)"
133,Round Mound of Rebound,119.5,J,"rgb(137,92,0)"
134,Indiana Monstars,117.5,A,"rgb(139,91,0)"
135,Doris' Big Old Giddies,117.0,D,"rgb(140,90,0)"
136,ROUdiamondGH,115.0,H,"rgb(142,89,0)"
137,nutted In her Gasol,115.0,E,"rgb(142,89,0)"
138,Minnesota  Lumberjacks,114.5,A,"rgb(142,88,0)"
139,Seattle SuperChronics,114.0,H,"rgb(143,88,0)"
140,Tennant Creek Big Horses,113.5,I,"rgb(143,87,0)"
141,Wandering Bears,113.5,D,"rgb(143,87,0)"
142,BigZ Spurs,113.0,G,"rgb(144,87,0)"
143,Brooklyn 99,113.0,A,"rgb(144,87,0)"
144,Livin' La Vida Luka,112.5,E,"rgb(144,87,0)"
145,Beau_Brigade,111.0,J,"rgb(146,85,0)"
146,Browntown,111.0,M,"rgb(146,85,0)"
147,FIGJAM,111.0,L,"rgb(146,85,0)"
148,Fox Force 5,111.0,J,"rgb(146,85,0)"
149,Wembanyama but 5'10,111.0,J,"rgb(146,85,0)"
150,Ja 'his real name is Clarence',110.0,C,"rgb(147,85,0)"
151,Team Hewish,109.5,M,"rgb(147,84,0)"
152,LA Anthony Day-to-Davis,108.5,B,"rgb(148,83,0)"
153,Sleepers,108.5,J,"rgb(148,83,0)"
154,Flint Michigan tropics,108.0,L,"rgb(149,83,0)"
155,GIDDEY UPS - MAILMAN 2.0,107.0,L,"rgb(150,82,0)"
156,Boston Beer Bellies,106.5,A,"rgb(150,82,0)"
157,Team Z3LLY,104.5,I,"rgb(152,80,0)"
158,Weekend at Boogie's,104.5,C,"rgb(152,80,0)"
159,Miami Heat Checks,104.0,A,"rgb(153,80,0)"
160,Mo' Money Mo Bamba,104.0,I,"rgb(153,80,0)"
161,The Shrimp Nets,101.0,F,"rgb(156,78,0)"
162,Slim Towers,100.5,E,"rgb(156,77,0)"
163,Eastcoast  Losers,98.5,E,"rgb(158,76,0)"
164,Embiid's Flavour Town,98.5,I,"rgb(158,76,0)"
165,"Brooks, Crooks and Sooks",98.0,F,"rgb(159,75,0)"
166,Logan Bogans,98.0,K,"rgb(159,75,0)"
167,Keyonte George  Costanza,97.0,J,"rgb(160,75,0)"
168,Kingcalvin,97.0,L,"rgb(160,75,0)"
169,The Book of  Irving,97.0,I,"rgb(160,75,0)"
170,Shanghai  Sharks,96.0,H,"rgb(161,74,0)"
171,Aussie Goats,95.0,M,"rgb(162,73,0)"
172,Boston Bombers,95.0,C,"rgb(162,73,0)"
173,Greek Freaks,94.5,D,"rgb(162,73,0)"
174,T-I-M….Team!!,94.5,M,"rgb(162,73,0)"
175,Team irwin,94.5,C,"rgb(162,73,0)"
176,Team No Lackin,94.0,G,"rgb(163,72,0)"
177,The Gee Whizzles,92.0,I,"rgb(165,71,0)"
178,Team Cooke,89.5,B,"rgb(167,69,0)"
179,Insert Team Name Here,89.0,K,"rgb(168,68,0)"
180,Jazz,88.5,A,"rgb(168,68,0)"
181,Canada Demon,88.0,I,"rgb(169,67,0)"
182,TankCity Unicorns,87.0,C,"rgb(170,67,0)"
183,Dallas Double D's,86.5,A,"rgb(170,66,0)"
184,HotDawgs,86.5,M,"rgb(170,66,0)"
185,Philderbeasts,86.5,I,"rgb(170,66,0)"
186,Team Pyke,86.5,F,"rgb(170,66,0)"
187,VICTOR-IOUS,86.5,B,"rgb(170,66,0)"
188,Wham Bam Thankyou Ma’am,86.5,K,"rgb(170,66,0)"
189,Rated PG13,86.0,L,"rgb(171,66,0)"
190,Please Hammer don't Huerter,84.5,G,"rgb(172,65,0)"
191,Wizbangs' Warriors,83.0,D,"rgb(174,64,0)"
192,The Sengunies,82.0,F,"rgb(175,63,0)"
193,Ben Simmons Construction,80.5,G,"rgb(176,62,0)"
194,KJ's DM's,79.5,I,"rgb(177,61,0)"
195,Team Damon,79.5,H,"rgb(177,61,0)"
196,Bames Jond,78.0,L,"rgb(179,60,0)"
197,Edward St Easybeats,78.0,E,"rgb(179,60,0)"
198,Quit Javing me turky,78.0,G,"rgb(179,60,0)"
199,Team Nicholson,77.5,C,"rgb(179,59,0)"
200,Boots Manuva,77.0,E,"rgb(180,59,0)"
201,Adelaide Shed Shots,76.5,E,"rgb(180,58,0)"
202,Team James,76.5,E,"rgb(180,58,0)"
203,The Chet Code,76.5,M,"rgb(180,58,0)"
204,pingu123,75.0,J,"rgb(182,57,0)"
205,The Blue Mountain Goats,74.0,C,"rgb(183,57,0)"
206,Chi Cargo Pants,73.5,A,"rgb(183,56,0)"
207,ANUS BLEACHING SEA LIONS,69.5,K,"rgb(187,53,0)"
208,Don't Go Blakin My Heart,69.5,H,"rgb(187,53,0)"
209,Gaza Gunners,69.0,C,"rgb(188,53,0)"
210,Revenge of  The Cedi,69.0,H,"rgb(188,53,0)"
211,Seattle Superchronics,69.0,G,"rgb(188,53,0)"
212,The Plasticman,64.5,K,"rgb(192,49,0)"
213,Allen Iversons Ego,62.0,I,"rgb(195,47,0)"
214,Asian Zing,61.5,M,"rgb(195,47,0)"
215,Donnys Beans,60.5,J,"rgb(196,46,0)"
216,Gladysisahoe Dazz,58.0,F,"rgb(199,44,0)"
217,Mile High Mutombo's,58.0,H,"rgb(199,44,0)"
218,Jimmy ButtPlugs,57.5,E,"rgb(199,44,0)"
219,MrPenPen,53.5,K,"rgb(203,41,0)"
220,Ol' Dirty Baskets,53.5,B,"rgb(203,41,0)"
221,Team Mercer,52.5,M,"rgb(204,40,0)"
222,Bank Town Squids,51.5,B,"rgb(205,39,0)"
223,Josh Kiddey,51.5,D,"rgb(205,39,0)"
224,Splash Bros 3011,51.0,G,"rgb(206,39,0)"
225,Team Ashton,50.5,L,"rgb(206,38,0)"
226,Valentuna Sandwhich,50.5,M,"rgb(206,38,0)"
227,The Bricks,49.0,G,"rgb(208,37,0)"
228,New York NateThrobinsons,47.5,B,"rgb(209,36,0)"
229,War Grimes in Garza,46.5,A,"rgb(210,35,0)"
230,Houston Mob Squad,43.0,B,"rgb(214,32,0)"
231,SavedByTheKelle,42.5,C,"rgb(214,32,0)"
232,Landsdale Smith,42.0,K,"rgb(215,32,0)"
233,Moon Shooters,40.5,D,"rgb(216,30,0)"
234,Rodney Rodgers,39.0,K,"rgb(218,29,0)"
235,Ben Simmons For 3,38.5,M,"rgb(218,29,0)"
236,Joeys Mad Lads,36.5,F,"rgb(220,27,0)"
237,Desmond’s  Dynasty,31.0,J,"rgb(226,23,0)"
238,The Flaming Galahs,30.0,C,"rgb(227,22,0)"
239,Slovenia. Beer. Dallas,28.5,L,"rgb(228,21,0)"
240,Miami Butlers,27.5,B,"rgb(229,20,0)"
241,Kobe Beans,26.0,J,"rgb(231,19,0)"
242,Arizoey Magic,25.0,G,"rgb(232,18,0)"
243,Bruce brown-eye,24.5,C,"rgb(232,18,0)"
244,Bunbury  Munno23,24.0,K,"rgb(233,17,0)"
245,Bird Sprog,22.5,K,"rgb(234,16,0)"
246,Team Alcobio,19.0,L,"rgb(238,14,0)"
247,All the  Ingles ladies,18.0,J,"rgb(239,13,0)"
248,Saint Lunatics,17.5,G,"rgb(239,12,0)"
249,Team Rah to the Max,17.0,F,"rgb(240,12,0)"
250,Victor Oladeepthr*ats,16.5,B,"rgb(240,12,0)"
251,My team sucks. Damn.,14.5,I,"rgb(242,10,0)"
252,Little Buff Boys,12.5,A,"rgb(244,8,0)"
253,FrostyFlyers,9.5,F,"rgb(247,6,0)"
254,Average  Joes,9.0,D,"rgb(248,6,0)"
255,Holy Klay-Noli's,6.5,J,"rgb(250,4,0)"
256,Joe Hablo Ingles,6.0,K,"rgb(251,3,0)"
257,Champ is here,5.5,E,"rgb(251,3,0)"
258,LaMarc Gasoldridge,5.5,K,"rgb(251,3,0)"
259,punting  everything,1.0,G,"rgb(255,0,0)"
