,Team,Matchups Score,League,Color
0,Los Angeles Ballerz,257.0,F,"rgb(0,200,0)"
1,Hard Solo,253.0,B,"rgb(4,196,0)"
2,The David Cahill's,252.0,K,"rgb(5,196,0)"
3,Scottie Pippings,250.0,F,"rgb(7,194,0)"
4,Lil Bow Yaus,246.0,J,"rgb(11,191,0)"
5,Temporary Linsanity,245.0,L,"rgb(12,190,0)"
6,Team Wallace,241.5,I,"rgb(16,187,0)"
7,Dort Stop Believin,240.5,C,"rgb(17,187,0)"
8,The Wrath,240.5,I,"rgb(17,187,0)"
9,Atlanta  Waivers,238.0,D,"rgb(19,185,0)"
10,Balls Deep,236.0,M,"rgb(21,183,0)"
11,Boston Ballerz,236.0,B,"rgb(21,183,0)"
12,Uncle Ben,234.5,G,"rgb(23,182,0)"
13,LIL UZI YURT,234.0,E,"rgb(23,182,0)"
14,Cossi's Carnts,230.5,D,"rgb(27,179,0)"
15,Sideline Out of Bounds,230.0,K,"rgb(27,178,0)"
16,Fresh Prince  FP,228.0,G,"rgb(29,177,0)"
17,Jinja Go Bear,228.0,C,"rgb(29,177,0)"
18,Kobe Wan Kenobi,226.0,F,"rgb(31,175,0)"
19,Mamba Mentality,226.0,E,"rgb(31,175,0)"
20,Luka Warm,224.5,G,"rgb(33,174,0)"
21,Townsville Crocs,224.5,F,"rgb(33,174,0)"
22,Lukatmenowmum,223.0,C,"rgb(34,173,0)"
23,Shwin's Ballsdeep,221.5,L,"rgb(36,172,0)"
24,Who what where when Kawhi,221.5,L,"rgb(36,172,0)"
25,Mr. 4th Quarter,221.0,M,"rgb(36,171,0)"
26,Knock the  Toppin off,219.5,C,"rgb(38,170,0)"
27,Luka Deez Nuts,219.5,F,"rgb(38,170,0)"
28,ChixnGrog,218.5,D,"rgb(39,169,0)"
29,50 Shades of Shai,218.0,A,"rgb(39,169,0)"
30,BoxHill Benny's Brickies,218.0,A,"rgb(39,169,0)"
31,Murphys Misfits,218.0,H,"rgb(39,169,0)"
32,Hispanic Deepers,217.0,J,"rgb(40,168,0)"
33,Mos Eisley Banthas,213.0,C,"rgb(44,165,0)"
34,Zions Illegitimate Child,213.0,B,"rgb(44,165,0)"
35,Taiwan Troopers,212.0,M,"rgb(45,164,0)"
36,Shanghai Sharks,211.5,M,"rgb(46,164,0)"
37,It’s the Final  KAT-Towns,209.5,G,"rgb(48,162,0)"
38,Jimmy Brings,209.0,A,"rgb(48,162,0)"
39,On The  Bagleys,209.0,I,"rgb(48,162,0)"
40,Jaylen CAN go left!,208.0,J,"rgb(49,161,0)"
41,Matisse Fly Bulls,208.0,J,"rgb(49,161,0)"
42,The IBINATORS,207.5,H,"rgb(50,161,0)"
43,You Don't Mess with the Ant-Man,207.5,A,"rgb(50,161,0)"
44,Pablo's Players,207.0,K,"rgb(50,160,0)"
45,Bair Jordan,206.0,D,"rgb(51,160,0)"
46,The A**L Embiids,205.5,B,"rgb(52,159,0)"
47,Giddey Up Chumps,205.0,F,"rgb(52,159,0)"
48,Big Bam Theory,204.0,M,"rgb(53,158,0)"
49,Bronsexual Lebrolites,204.0,J,"rgb(53,158,0)"
50,The Great Hali,203.0,H,"rgb(54,157,0)"
51,JR  Swishes,201.5,D,"rgb(56,156,0)"
52,North Noosa Leather Jackets,199.5,A,"rgb(58,155,0)"
53,Motor Cade,198.5,H,"rgb(59,154,0)"
54,Boswell Pioneers,197.5,A,"rgb(60,153,0)"
55,BIG BULLS,196.5,M,"rgb(61,152,0)"
56,Couch potatoes,196.5,F,"rgb(61,152,0)"
57,Margaret River Wyld Stallyns,195.5,E,"rgb(62,151,0)"
58,Lucky Punters,195.0,B,"rgb(62,151,0)"
59,Brisbane Noble’s Nobs,194.5,B,"rgb(63,151,0)"
60,Red Dragons,193.0,G,"rgb(64,150,0)"
61,G-Town DownTowners,192.5,C,"rgb(65,149,0)"
62,Sweet Home Wembanyama,192.5,A,"rgb(65,149,0)"
63,Meep Meep,191.5,I,"rgb(66,148,0)"
64,Plumlees Crack,190.5,B,"rgb(67,148,0)"
65,'22 Spirit,188.0,D,"rgb(69,146,0)"
66,Phoenix Gray Hammers,188.0,B,"rgb(69,146,0)"
