,Team,Matchups Score,League,Color
71,Bames Jond,181.0,L,"rgb(77,140,0)"
72,Team James,180.5,E,"rgb(77,139,0)"
73,Atlanta  Waivers,179.5,D,"rgb(78,138,0)"
74,Daryl's Discount Dimes,179.0,E,"rgb(79,138,0)"
75,Ja 'his real name is Clarence',173.0,C,"rgb(85,133,0)"
76,Luka Warm,173.0,G,"rgb(85,133,0)"
77,G-Town DownTowners,172.5,C,"rgb(85,133,0)"
78,'22 Spirit,172.0,D,"rgb(86,133,0)"
79,Sideline Out of Bounds,171.5,K,"rgb(86,132,0)"
80,It's Always F'd In Philadelphia,170.0,E,"rgb(88,131,0)"
81,Diamond  D Dynasty,169.5,E,"rgb(88,131,0)"
82,Jackie Daytona,169.5,K,"rgb(88,131,0)"
83,Margaret River Wyld Stallyns,169.5,E,"rgb(88,131,0)"
84,Team Rah to the Max,169.0,F,"rgb(89,130,0)"
85,JR  Swishes,168.5,D,"rgb(89,130,0)"
86,Preying Domantas,167.0,F,"rgb(91,129,0)"
87,Boomtown Bulls,166.0,K,"rgb(92,128,0)"
88,Please Hammer don't Huerter,166.0,G,"rgb(92,128,0)"
89,Plumlees Crack,164.5,B,"rgb(93,127,0)"
90,Team No Lackin,164.5,G,"rgb(93,127,0)"
91,Indiana Monstars,163.5,A,"rgb(94,126,0)"
92,Team Alcobio,162.5,L,"rgb(95,125,0)"
93,Jazz,162.0,A,"rgb(96,125,0)"
94,Ol' Dirty Baskets,162.0,B,"rgb(96,125,0)"
95,Shwin's Ballsdeep,159.0,L,"rgb(99,122,0)"
96,BigZ Spurs,158.5,G,"rgb(99,122,0)"
97,MrPenPen,157.5,K,"rgb(100,121,0)"
98,TankCity Unicorns,157.5,C,"rgb(100,121,0)"
99,GIDDEY UPS - MAILMAN 2.0,157.0,L,"rgb(101,121,0)"
100,New Orleans Zionlyfans,157.0,C,"rgb(101,121,0)"
101,Jazzy J,156.5,I,"rgb(101,120,0)"
102,nutted In her Gasol,156.0,E,"rgb(102,120,0)"
103,T-I-M….Team!!,155.5,M,"rgb(102,120,0)"
104,Boston Beer Bellies,153.0,A,"rgb(105,118,0)"
105,Hard Solo,152.5,B,"rgb(105,117,0)"
106,Lick DeBallZachs,152.5,D,"rgb(105,117,0)"
107,Caruso BaldEagles,150.0,I,"rgb(108,115,0)"
108,punting  everything,150.0,G,"rgb(108,115,0)"
109,Round Mound of Rebound,149.0,J,"rgb(109,115,0)"
110,Kingcalvin,148.5,L,"rgb(109,114,0)"
111,The Wrath,147.5,I,"rgb(110,113,0)"
112,Bronsexual Lebrolites,147.0,J,"rgb(111,113,0)"
113,Triple Towers,146.5,L,"rgb(111,113,0)"
114,Kripsy Strips Porzingerbox,144.0,J,"rgb(114,111,0)"
115,Taiwan Troopers,144.0,M,"rgb(114,111,0)"
116,KING JAMIS,142.5,G,"rgb(115,109,0)"
117,GOLD COAST  GREMLINS,141.5,C,"rgb(116,109,0)"
118,Flex n Affect,139.5,E,"rgb(118,107,0)"
119,OnlyFranz,139.5,F,"rgb(118,107,0)"
120,Team Damon,137.0,H,"rgb(121,105,0)"
121,Signature Moves,136.5,I,"rgb(121,105,0)"
122,Slovenia. Beer. Dallas,136.5,L,"rgb(121,105,0)"
123,Brunson Burner,136.0,M,"rgb(122,104,0)"
124,Josh Kiddey,135.5,D,"rgb(122,104,0)"
125,Doris' Big Old Giddies,135.0,D,"rgb(123,104,0)"
126,Team luka slo,135.0,D,"rgb(123,104,0)"
127,Team Winchester,132.5,B,"rgb(125,102,0)"
128,Jinja Go Bear,130.5,C,"rgb(127,100,0)"
129,Giddey Up Chumps,129.0,F,"rgb(129,99,0)"
130,Chi Cargo Pants,128.5,A,"rgb(129,99,0)"
131,Its on like  Doncic Kong,127.5,H,"rgb(130,98,0)"
132,The Plasticman,126.0,K,"rgb(132,97,0)"
133,Moves Like Agger,125.0,L,"rgb(133,96,0)"
134,Phoenix Gray Hammers,125.0,B,"rgb(133,96,0)"
135,Tennant Creek Big Horses,124.0,I,"rgb(134,95,0)"
136,Fresh Prince  FP,122.5,G,"rgb(135,94,0)"
137,Ja Raffe,122.5,M,"rgb(135,94,0)"
138,The Great Hali,122.0,H,"rgb(136,93,0)"
139,Brisbane Noble’s Nobs,120.5,B,"rgb(137,92,0)"
140,Weekend at Boogie's,120.5,C,"rgb(137,92,0)"
141,Embiid's Flavour Town,120.0,I,"rgb(138,92,0)"
142,H I,119.5,H,"rgb(138,91,0)"
143,Panania Rockets,118.5,D,"rgb(139,91,0)"
144,DY PJ  Birch,118.0,E,"rgb(140,90,0)"
145,Little Buff Boys,117.5,A,"rgb(140,90,0)"
146,Scottie Pippings,117.5,F,"rgb(140,90,0)"
147,Sweet Home Wembanyama,116.0,A,"rgb(142,89,0)"
148,Team Cooke,116.0,B,"rgb(142,89,0)"
149,Logan Bogans,112.5,K,"rgb(145,86,0)"
150,Mr. 4th Quarter,112.5,M,"rgb(145,86,0)"
151,My team sucks. Damn.,112.0,I,"rgb(146,86,0)"
152,VICTOR-IOUS,112.0,B,"rgb(146,86,0)"
153,Zions Illegitimate Child,111.0,B,"rgb(147,85,0)"
154,Peeattle Poopersonics,107.0,J,"rgb(151,82,0)"
155,Townsville Crocs,106.5,F,"rgb(151,81,0)"
156,Valentuna Sandwhich,105.0,M,"rgb(153,80,0)"
157,Wandering Bears,105.0,D,"rgb(153,80,0)"
158,ANUS BLEACHING SEA LIONS,103.5,K,"rgb(154,79,0)"
159,Team Blah,101.5,M,"rgb(156,77,0)"
160,Average  Joes,101.0,D,"rgb(157,77,0)"
161,Beau_Brigade,100.0,J,"rgb(158,76,0)"
162,ChixnGrog,99.5,D,"rgb(158,76,0)"
163,Team Hewish,98.0,M,"rgb(160,75,0)"
164,Duncans Donuts,96.5,G,"rgb(161,73,0)"
165,Knock the  Toppin off,96.5,C,"rgb(161,73,0)"
166,Mos Eisley Banthas,95.0,C,"rgb(163,72,0)"
167,Victor Oladeepthr*ats,94.0,B,"rgb(164,72,0)"
168,Boots Manuva,93.0,E,"rgb(165,71,0)"
169,Miami Butlers,92.5,B,"rgb(165,70,0)"
170,OG Tassie Devils,92.0,D,"rgb(166,70,0)"
171,Slim Towers,91.5,E,"rgb(166,70,0)"
172,Shanghai  Sharks,90.5,H,"rgb(167,69,0)"
173,Team Nicholson,90.5,C,"rgb(167,69,0)"
174,Browntown,90.0,M,"rgb(168,68,0)"
175,Big Bam Theory,89.5,M,"rgb(168,68,0)"
176,Edward St Easybeats,89.5,E,"rgb(168,68,0)"
177,Flint Michigan tropics,89.5,L,"rgb(168,68,0)"
178,"Brooks, Crooks and Sooks",89.0,F,"rgb(169,68,0)"
179,Luka Deez Nuts,87.5,F,"rgb(170,66,0)"
180,Bair Jordan,87.0,D,"rgb(171,66,0)"
181,Adelaide Shed Shots,86.5,E,"rgb(171,66,0)"
182,The Snack Randolphs,86.0,L,"rgb(172,65,0)"
183,On The  Bagleys,85.5,I,"rgb(172,65,0)"
184,Team Ashton,84.0,L,"rgb(174,64,0)"
185,Red Dragons,83.5,G,"rgb(174,63,0)"
186,New York NateThrobinsons,82.5,B,"rgb(175,63,0)"
187,Donnys Beans,80.5,J,"rgb(177,61,0)"
188,LaMarc Gasoldridge,80.5,K,"rgb(177,61,0)"
189,Team Becks,79.0,G,"rgb(179,60,0)"
190,Karl Anthony's CLOWNS,78.5,F,"rgb(179,59,0)"
191,Allen Iversons Ego,77.0,I,"rgb(181,58,0)"
192,Fox Force 5,76.0,J,"rgb(182,57,0)"
193,Mile High Mutombo's,75.0,H,"rgb(183,57,0)"
194,Team irwin,75.0,C,"rgb(183,57,0)"
195,FIGJAM,73.5,L,"rgb(184,55,0)"
196,ROUdiamondGH,73.5,H,"rgb(184,55,0)"
197,DominAyton Curry,72.5,L,"rgb(185,55,0)"
198,In Touch With The Common Man,71.0,I,"rgb(187,54,0)"
199,BIG BULLS,69.0,M,"rgb(189,52,0)"
200,The Mighty Bears,69.0,D,"rgb(189,52,0)"
201,SavedByTheKelle,67.5,C,"rgb(190,51,0)"
202,Dallas Double D's,67.0,A,"rgb(191,50,0)"
203,WORST EVER,67.0,G,"rgb(191,50,0)"
204,Gladysisahoe Dazz,66.5,F,"rgb(191,50,0)"
205,ESU,66.0,L,"rgb(192,50,0)"
206,Couch potatoes,65.5,F,"rgb(192,49,0)"
207,Globetrotter Gunts,64.5,K,"rgb(193,48,0)"
208,Bunbury  Munno23,63.5,K,"rgb(194,48,0)"
209,Funghi Curry,63.5,H,"rgb(194,48,0)"
210,DurdyDurdsDuds,63.0,D,"rgb(195,47,0)"
211,Down Right Sneaky,62.0,J,"rgb(196,46,0)"
212,Temporary Linsanity,62.0,L,"rgb(196,46,0)"
213,Bench Boys,59.0,C,"rgb(199,44,0)"
214,Allen In Shorts,54.5,F,"rgb(203,41,0)"
215,I Felton Her Booby,54.0,D,"rgb(204,40,0)"
216,Miami Heat Checks,54.0,A,"rgb(204,40,0)"
217,The Hairy Skips,54.0,H,"rgb(204,40,0)"
218,HotDawgs,52.0,M,"rgb(206,39,0)"
219,Saint Lunatics,52.0,G,"rgb(206,39,0)"
220,The David Cahill's,49.5,K,"rgb(208,37,0)"
221,Frank Reynolds,49.0,K,"rgb(209,36,0)"
222,Keyonte George  Costanza,49.0,J,"rgb(209,36,0)"
223,Moon Shooters,47.5,D,"rgb(210,35,0)"
224,Arizoey Magic,46.5,G,"rgb(211,34,0)"
225,Boston Ballerz,46.5,B,"rgb(211,34,0)"
226,HARDEN UP!,45.5,B,"rgb(212,34,0)"
227,Bruce brown-eye,44.5,C,"rgb(213,33,0)"
228,The Sengunies,44.0,F,"rgb(214,32,0)"
229,Jimmy ButtPlugs,41.0,E,"rgb(217,30,0)"
230,pingu123,40.5,J,"rgb(217,30,0)"
231,Insert Team Name Here,40.0,K,"rgb(218,29,0)"
232,FrostyFlyers,37.5,F,"rgb(220,27,0)"
233,Champ is here,36.0,E,"rgb(222,26,0)"
234,Seattle Superchronics,34.5,G,"rgb(223,25,0)"
235,Quit Javing me turky,33.0,G,"rgb(225,24,0)"
236,Canada Demon,32.5,I,"rgb(225,23,0)"
237,Motor Cade,30.5,H,"rgb(227,22,0)"
238,Houston Mob Squad,29.5,B,"rgb(228,21,0)"
239,Memphis 12 Guage,28.5,A,"rgb(229,20,0)"
240,Splash Bros 3011,28.0,G,"rgb(230,20,0)"
241,OKC-OOPS,27.5,L,"rgb(230,19,0)"
242,Team Cumming,26.0,H,"rgb(232,18,0)"
243,Holy Klay-Noli's,25.0,J,"rgb(233,18,0)"
244,All the  Ingles ladies,24.0,J,"rgb(234,17,0)"
245,Revenge of  The Cedi,21.5,H,"rgb(236,15,0)"
246,Livin' La Vida Luka,20.5,E,"rgb(237,14,0)"
247,Brooklyn 99,18.0,A,"rgb(240,12,0)"
248,Re dirkulous,15.0,I,"rgb(243,10,0)"
249,Minnesota  Lumberjacks,14.5,A,"rgb(243,9,0)"
250,Mo' Money Mo Bamba,13.5,I,"rgb(244,9,0)"
251,Kobe Beans,10.5,J,"rgb(247,6,0)"
252,Rodney Rodgers,9.5,K,"rgb(248,5,0)"
253,Team Mercer,9.0,M,"rgb(249,5,0)"
254,Desmond’s  Dynasty,7.5,J,"rgb(250,4,0)"
255,Don't Go Blakin My Heart,6.0,H,"rgb(252,3,0)"
256,Boston Bombers,5.5,C,"rgb(252,2,0)"
257,Bird Sprog,4.0,K,"rgb(254,1,0)"
258,Team Z3LLY,3.5,I,"rgb(254,1,0)"
259,Ben Simmons For 3,2.0,M,"rgb(255,0,0)"
