,Team,Matchups Score,League,Color
0,James and the Giant Overreach,257.5,H,"rgb(0,200,0)"
1,Lewisham Loose Units,254.5,B,"rgb(3,197,0)"
2,Bank Town Squids,251.0,B,"rgb(7,194,0)"
3,Philderbeasts,251.0,I,"rgb(7,194,0)"
4,Taco Corp,248.5,A,"rgb(9,192,0)"
5,Shanghai Sharks,245.5,M,"rgb(12,190,0)"
6,Dort Stop Believin,243.5,C,"rgb(14,189,0)"
7,Wembanyama but 5'10,243.0,J,"rgb(15,188,0)"
8,Sleepers,242.0,J,"rgb(16,187,0)"
9,Rikroller,241.0,E,"rgb(17,187,0)"
10,Harrison the league,236.0,F,"rgb(22,183,0)"
11,Team Pyke,235.5,F,"rgb(22,182,0)"
12,Aussie Goats,234.0,M,"rgb(24,181,0)"
13,Good Problems,233.0,K,"rgb(25,180,0)"
14,Los Angeles Ballerz,233.0,F,"rgb(25,180,0)"
15,Under my  Clint Capela,232.5,H,"rgb(25,180,0)"
16,Greek Freaks,231.5,D,"rgb(26,179,0)"
17,Yippie Kyrie Motherf**ker,231.0,A,"rgb(27,179,0)"
18,Uncle Ben,230.5,G,"rgb(27,178,0)"
19,The Shrimp Nets,230.0,F,"rgb(28,178,0)"
20,Jaylen CAN go left!,229.5,J,"rgb(28,178,0)"
21,Balls Deep,228.5,M,"rgb(29,177,0)"
22,The Bricks,228.0,G,"rgb(30,176,0)"
23,Helltown  Hops,226.0,H,"rgb(32,175,0)"
24,North Noosa Leather Jackets,225.5,A,"rgb(32,174,0)"
25,Ben Simmons Construction,225.0,G,"rgb(33,174,0)"
26,Hispanic Deepers,224.0,J,"rgb(34,173,0)"
27,The A**L Embiids,223.0,B,"rgb(35,172,0)"
28,$picy ball,222.5,L,"rgb(35,172,0)"
29,Seattle SuperChronics,220.5,H,"rgb(37,171,0)"
30,50 Shades of Shai,218.5,A,"rgb(39,169,0)"
31,Joe Hablo Ingles,216.5,K,"rgb(41,167,0)"
32,You Don't Mess with the Ant-Man,215.5,A,"rgb(42,167,0)"
33,BoxHill Benny's Brickies,214.5,A,"rgb(43,166,0)"
34,Meep Meep,213.5,I,"rgb(44,165,0)"
35,Team Wallace,211.5,I,"rgb(46,163,0)"
36,Wham Bam Thankyou Ma’am,210.5,K,"rgb(47,163,0)"
37,Pablo's Players,209.0,K,"rgb(49,162,0)"
38,LIL UZI YURT,208.5,E,"rgb(49,161,0)"
39,The Blue Mountain Goats,208.5,C,"rgb(49,161,0)"
40,Who what where when Kawhi,208.0,L,"rgb(50,161,0)"
41,Asian Zing,206.0,M,"rgb(52,159,0)"
42,OG Wan Unobi,205.5,H,"rgb(52,159,0)"
43,Matisse Fly Bulls,204.5,J,"rgb(53,158,0)"
44,It’s the Final  KAT-Towns,204.0,G,"rgb(54,158,0)"
45,Jimmy Brings,202.0,A,"rgb(56,156,0)"
46,War Grimes in Garza,202.0,A,"rgb(56,156,0)"
47,Boswell Pioneers,200.5,A,"rgb(57,155,0)"
48,Eastcoast  Losers,199.0,E,"rgb(59,154,0)"
49,Flint Tropics,199.0,M,"rgb(59,154,0)"
50,KJ's DM's,198.5,I,"rgb(59,153,0)"
51,The Book of  Irving,197.0,I,"rgb(61,152,0)"
52,Wizbangs' Warriors,196.0,D,"rgb(62,151,0)"
53,Joeys Mad Lads,194.5,F,"rgb(63,150,0)"
54,The Flaming Galahs,194.5,C,"rgb(63,150,0)"
55,Rated PG13,194.0,L,"rgb(64,150,0)"
56,Lukatmenowmum,193.5,C,"rgb(64,149,0)"
57,Gaza Gunners,193.0,C,"rgb(65,149,0)"
58,The Chet Code,192.5,M,"rgb(65,149,0)"
59,LA Anthony Day-to-Davis,192.0,B,"rgb(66,148,0)"
60,Lucky Punters,191.5,B,"rgb(66,148,0)"
61,Mamba Mentality,191.5,E,"rgb(66,148,0)"
62,Kobe Wan Kenobi,190.0,F,"rgb(68,147,0)"
63,Murphys Misfits,190.0,H,"rgb(68,147,0)"
64,Cossi's Carnts,189.0,D,"rgb(69,146,0)"
65,Darwin Esky,188.5,L,"rgb(69,145,0)"
66,The Gee Whizzles,187.5,I,"rgb(70,145,0)"
67,Landsdale Smith,186.5,K,"rgb(71,144,0)"
68,AY JARAMBA!,185.0,E,"rgb(73,143,0)"
69,The IBINATORS,185.0,H,"rgb(73,143,0)"
70,Lil Bow Yaus,184.5,J,"rgb(73,142,0)"
