,Team,Matchups Score,League,Color
0,Ja 'his real name is Clarence',258.5,C,"rgb(0,200,0)"
1,Pablo's Players,256.0,K,"rgb(3,198,0)"
2,The Book of  Irving,253.0,I,"rgb(6,195,0)"
3,Balls Deep,250.5,M,"rgb(8,193,0)"
4,Gladysisahoe Dazz,249.0,F,"rgb(10,192,0)"
5,Flint Michigan tropics,246.5,L,"rgb(12,190,0)"
6,Team Cooke,246.0,B,"rgb(13,190,0)"
7,The Shrimp Nets,245.0,F,"rgb(14,189,0)"
8,BIG BULLS,244.5,M,"rgb(14,189,0)"
9,Minnesota  Lumberjacks,242.0,A,"rgb(17,187,0)"
10,The Gee Whizzles,242.0,I,"rgb(17,187,0)"
11,Sleepers,241.0,J,"rgb(18,186,0)"
12,Fresh Prince  FP,240.5,G,"rgb(18,186,0)"
13,Flex n Affect,239.5,E,"rgb(19,185,0)"
14,Yippie Kyrie Motherf**ker,238.0,A,"rgb(21,184,0)"
15,The Chet Code,236.5,M,"rgb(22,182,0)"
16,Wandering Bears,236.0,D,"rgb(23,182,0)"
17,Team irwin,235.0,C,"rgb(24,181,0)"
18,The Bricks,232.0,G,"rgb(27,179,0)"
19,Diamond  D Dynasty,228.0,E,"rgb(31,176,0)"
20,50 Shades of Shai,226.0,A,"rgb(33,174,0)"
21,'22 Spirit,225.5,D,"rgb(33,174,0)"
22,BigZ Spurs,225.5,G,"rgb(33,174,0)"
23,JR  Swishes,224.5,D,"rgb(34,173,0)"
24,ChixnGrog,222.5,D,"rgb(36,172,0)"
25,GOLD COAST  GREMLINS,222.5,C,"rgb(36,172,0)"
26,Miami Butlers,219.5,B,"rgb(39,169,0)"
27,Luka Warm,218.0,G,"rgb(41,168,0)"
28,Edward St Easybeats,216.5,E,"rgb(42,167,0)"
29,Lil Bow Yaus,216.5,J,"rgb(42,167,0)"
30,Bank Town Squids,216.0,B,"rgb(43,166,0)"
31,DominAyton Curry,215.0,L,"rgb(44,166,0)"
32,Daryl's Discount Dimes,214.5,E,"rgb(44,165,0)"
33,Scottie Pippings,214.5,F,"rgb(44,165,0)"
34,Team Wallace,214.5,I,"rgb(44,165,0)"
35,The Great Hali,213.0,H,"rgb(46,164,0)"
36,Philderbeasts,209.5,I,"rgb(49,161,0)"
37,Helltown  Hops,208.5,H,"rgb(50,161,0)"
38,The IBINATORS,208.0,H,"rgb(51,160,0)"
39,Kobe Wan Kenobi,207.0,F,"rgb(51,160,0)"
40,Lewisham Loose Units,205.0,B,"rgb(53,158,0)"
41,The A**L Embiids,204.0,B,"rgb(54,157,0)"
42,Indiana Monstars,203.5,A,"rgb(55,157,0)"
43,Josh Kiddey,203.5,D,"rgb(55,157,0)"
44,Mile High Mutombo's,203.0,H,"rgb(55,156,0)"
45,Brunson Burner,202.0,M,"rgb(56,156,0)"
46,Seattle SuperChronics,202.0,H,"rgb(56,156,0)"
47,punting  everything,202.0,G,"rgb(56,156,0)"
48,Jimmy ButtPlugs,200.5,E,"rgb(58,154,0)"
49,Townsville Crocs,200.0,F,"rgb(58,154,0)"
50,Keyonte George  Costanza,198.5,J,"rgb(60,153,0)"
51,You Don't Mess with the Ant-Man,197.5,A,"rgb(61,152,0)"
52,Team Z3LLY,197.0,I,"rgb(61,152,0)"
53,Temporary Linsanity,196.0,L,"rgb(62,151,0)"
54,LaMarc Gasoldridge,195.5,K,"rgb(63,151,0)"
55,Little Buff Boys,194.5,A,"rgb(64,150,0)"
56,Beau_Brigade,194.0,J,"rgb(64,149,0)"
57,H I,193.0,H,"rgb(65,149,0)"
58,Dort Stop Believin,192.5,C,"rgb(66,148,0)"
59,OG Wan Unobi,191.0,H,"rgb(67,147,0)"
60,Ol' Dirty Baskets,191.0,B,"rgb(67,147,0)"
61,Valentuna Sandwhich,190.0,M,"rgb(68,146,0)"
62,Tennant Creek Big Horses,189.5,I,"rgb(69,146,0)"
63,Boomtown Bulls,189.0,K,"rgb(69,146,0)"
64,Team Hewish,187.5,M,"rgb(71,144,0)"
65,"Brooks, Crooks and Sooks",187.0,F,"rgb(71,144,0)"
66,Please Hammer don't Huerter,186.5,G,"rgb(72,144,0)"
67,Team Mercer,186.5,M,"rgb(72,144,0)"
68,Doris' Big Old Giddies,185.5,D,"rgb(73,143,0)"
69,Team Becks,183.5,G,"rgb(75,141,0)"
70,Canada Demon,181.0,I,"rgb(77,139,0)"
71,HotDawgs,179.5,M,"rgb(79,138,0)"
72,Boots Manuva,177.5,E,"rgb(81,137,0)"
73,Allen Iversons Ego,177.0,I,"rgb(81,136,0)"
74,Darwin Esky,176.5,L,"rgb(82,136,0)"
75,Bronsexual Lebrolites,173.0,J,"rgb(85,133,0)"
76,Harrison the league,173.0,F,"rgb(85,133,0)"
77,Fox Force 5,172.5,J,"rgb(86,133,0)"
78,Rikroller,172.5,E,"rgb(86,133,0)"
79,Bench Boys,171.0,C,"rgb(87,132,0)"
80,Mamba Mentality,171.0,E,"rgb(87,132,0)"
81,Uncle Ben,169.5,G,"rgb(89,130,0)"
82,Wham Bam Thankyou Ma’am,169.5,K,"rgb(89,130,0)"
83,Miami Heat Checks,168.5,A,"rgb(90,130,0)"
84,LA Anthony Day-to-Davis,168.0,B,"rgb(90,129,0)"
85,Taco Corp,168.0,A,"rgb(90,129,0)"
86,Plumlees Crack,167.0,B,"rgb(91,128,0)"
87,Red Dragons,167.0,G,"rgb(91,128,0)"
88,Globetrotter Gunts,166.0,K,"rgb(92,128,0)"
89,Bunbury  Munno23,165.0,K,"rgb(93,127,0)"
90,The Hairy Skips,163.5,H,"rgb(95,126,0)"
91,Its on like  Doncic Kong,163.0,H,"rgb(95,125,0)"
92,Triple Towers,160.0,L,"rgb(98,123,0)"
93,Shanghai Sharks,158.5,M,"rgb(100,122,0)"
94,The Flaming Galahs,158.5,C,"rgb(100,122,0)"
95,Who what where when Kawhi,156.5,L,"rgb(102,120,0)"
96,Slovenia. Beer. Dallas,154.0,L,"rgb(104,118,0)"
97,Jazz,150.5,A,"rgb(107,116,0)"
98,DurdyDurdsDuds,149.0,D,"rgb(109,114,0)"
99,Houston Mob Squad,149.0,B,"rgb(109,114,0)"
100,Greek Freaks,146.5,D,"rgb(111,113,0)"
101,Meep Meep,146.0,I,"rgb(112,112,0)"
102,Team No Lackin,145.5,G,"rgb(112,112,0)"
103,Sideline Out of Bounds,145.0,K,"rgb(113,111,0)"
104,Jaylen CAN go left!,144.5,J,"rgb(113,111,0)"
105,Bruce brown-eye,144.0,C,"rgb(114,111,0)"
106,Aussie Goats,143.5,M,"rgb(114,110,0)"
107,Phoenix Gray Hammers,143.0,B,"rgb(115,110,0)"
108,DY PJ  Birch,142.5,E,"rgb(115,109,0)"
109,FrostyFlyers,141.5,F,"rgb(116,109,0)"
110,GIDDEY UPS - MAILMAN 2.0,140.5,L,"rgb(117,108,0)"
111,Team Alcobio,140.5,L,"rgb(117,108,0)"
112,Atlanta  Waivers,139.5,D,"rgb(118,107,0)"
113,New Orleans Zionlyfans,139.5,C,"rgb(118,107,0)"
114,Rodney Rodgers,139.0,K,"rgb(119,107,0)"
115,TankCity Unicorns,138.0,C,"rgb(120,106,0)"
116,Team Blah,137.5,M,"rgb(120,106,0)"
117,Team James,137.5,E,"rgb(120,106,0)"
118,Team luka slo,137.5,D,"rgb(120,106,0)"
119,Joeys Mad Lads,135.0,F,"rgb(123,104,0)"
120,Los Angeles Ballerz,135.0,F,"rgb(123,104,0)"
121,Matisse Fly Bulls,135.0,J,"rgb(123,104,0)"
122,Panania Rockets,135.0,D,"rgb(123,104,0)"
123,OKC-OOPS,134.0,L,"rgb(124,103,0)"
124,ROUdiamondGH,134.0,H,"rgb(124,103,0)"
125,Don't Go Blakin My Heart,132.5,H,"rgb(125,102,0)"
126,Luka Deez Nuts,132.5,F,"rgb(125,102,0)"
127,All the  Ingles ladies,130.5,J,"rgb(127,100,0)"
128,James and the Giant Overreach,129.0,H,"rgb(129,99,0)"
129,Adelaide Shed Shots,127.5,E,"rgb(130,98,0)"
130,Kingcalvin,127.5,L,"rgb(130,98,0)"
131,Moon Shooters,127.0,D,"rgb(131,97,0)"
132,Quit Javing me turky,127.0,G,"rgb(131,97,0)"
133,Team Damon,126.0,H,"rgb(132,97,0)"
134,Champ is here,124.5,E,"rgb(133,95,0)"
135,In Touch With The Common Man,124.5,I,"rgb(133,95,0)"
136,Jimmy Brings,123.5,A,"rgb(134,95,0)"
137,Giddey Up Chumps,123.0,F,"rgb(135,94,0)"
138,The Sengunies,122.5,F,"rgb(135,94,0)"
139,Team Nicholson,122.0,C,"rgb(136,93,0)"
140,SavedByTheKelle,121.5,C,"rgb(136,93,0)"
141,Bames Jond,119.5,L,"rgb(138,92,0)"
142,The Snack Randolphs,119.5,L,"rgb(138,92,0)"
143,HARDEN UP!,119.0,B,"rgb(139,91,0)"
144,Brisbane Noble’s Nobs,116.0,B,"rgb(142,89,0)"
145,Taiwan Troopers,116.0,M,"rgb(142,89,0)"
146,Under my  Clint Capela,116.0,H,"rgb(142,89,0)"
147,Lick DeBallZachs,115.5,D,"rgb(142,88,0)"
148,Lucky Punters,115.5,B,"rgb(142,88,0)"
149,North Noosa Leather Jackets,115.5,A,"rgb(142,88,0)"
150,The Wrath,114.5,I,"rgb(143,88,0)"
151,My team sucks. Damn.,113.0,I,"rgb(145,86,0)"
152,Peeattle Poopersonics,113.0,J,"rgb(145,86,0)"
153,Boston Bombers,112.0,C,"rgb(146,86,0)"
154,Mr. 4th Quarter,112.0,M,"rgb(146,86,0)"
155,Saint Lunatics,111.0,G,"rgb(147,85,0)"
156,Boston Beer Bellies,110.0,A,"rgb(148,84,0)"
157,Wizbangs' Warriors,109.5,D,"rgb(148,84,0)"
158,Brooklyn 99,108.5,A,"rgb(149,83,0)"
159,Moves Like Agger,108.0,L,"rgb(150,83,0)"
160,Weekend at Boogie's,108.0,C,"rgb(150,83,0)"
161,BoxHill Benny's Brickies,107.5,A,"rgb(150,82,0)"
162,Karl Anthony's CLOWNS,107.5,F,"rgb(150,82,0)"
163,Frank Reynolds,106.5,K,"rgb(151,81,0)"
164,Good Problems,106.5,K,"rgb(151,81,0)"
165,Mos Eisley Banthas,105.5,C,"rgb(152,81,0)"
166,Kripsy Strips Porzingerbox,105.0,J,"rgb(153,80,0)"
167,$picy ball,103.5,L,"rgb(154,79,0)"
168,Signature Moves,103.0,I,"rgb(154,79,0)"
169,Livin' La Vida Luka,102.0,E,"rgb(155,78,0)"
170,Shanghai  Sharks,100.5,H,"rgb(157,77,0)"
171,Round Mound of Rebound,100.0,J,"rgb(157,76,0)"
172,Landsdale Smith,97.0,K,"rgb(160,74,0)"
173,Jackie Daytona,95.5,K,"rgb(162,73,0)"
174,Team Rah to the Max,95.5,F,"rgb(162,73,0)"
175,War Grimes in Garza,95.5,A,"rgb(162,73,0)"
176,Rated PG13,93.5,L,"rgb(164,71,0)"
177,Shwin's Ballsdeep,93.5,L,"rgb(164,71,0)"
178,AY JARAMBA!,92.0,E,"rgb(165,70,0)"
179,The Mighty Bears,91.5,D,"rgb(166,70,0)"
180,ANUS BLEACHING SEA LIONS,90.5,K,"rgb(167,69,0)"
181,ESU,89.5,L,"rgb(168,68,0)"
182,WORST EVER,89.0,G,"rgb(168,68,0)"
183,Revenge of  The Cedi,88.5,H,"rgb(169,67,0)"
184,Ben Simmons Construction,88.0,G,"rgb(169,67,0)"
185,Chi Cargo Pants,88.0,A,"rgb(169,67,0)"
186,Kobe Beans,85.5,J,"rgb(172,65,0)"
187,Victor Oladeepthr*ats,85.5,B,"rgb(172,65,0)"
188,Big Bam Theory,84.0,M,"rgb(173,64,0)"
189,Memphis 12 Guage,84.0,A,"rgb(173,64,0)"
190,Lukatmenowmum,80.5,C,"rgb(177,61,0)"
191,FIGJAM,80.0,L,"rgb(177,61,0)"
192,T-I-M….Team!!,80.0,M,"rgb(177,61,0)"
193,The David Cahill's,80.0,K,"rgb(177,61,0)"
194,LIL UZI YURT,78.0,E,"rgb(179,59,0)"
195,Average  Joes,76.5,D,"rgb(181,58,0)"
196,It’s the Final  KAT-Towns,74.5,G,"rgb(183,57,0)"
197,Donnys Beans,73.5,J,"rgb(184,56,0)"
198,Down Right Sneaky,72.0,J,"rgb(185,55,0)"
199,The Blue Mountain Goats,71.0,C,"rgb(186,54,0)"
200,Desmond’s  Dynasty,67.0,J,"rgb(190,51,0)"
201,KING JAMIS,66.5,G,"rgb(191,50,0)"
202,It's Always F'd In Philadelphia,65.0,E,"rgb(192,49,0)"
203,Joe Hablo Ingles,64.0,K,"rgb(193,48,0)"
204,Preying Domantas,63.0,F,"rgb(194,48,0)"
205,I Felton Her Booby,60.5,D,"rgb(197,46,0)"
206,pingu123,58.5,J,"rgb(199,44,0)"
207,Splash Bros 3011,58.0,G,"rgb(199,44,0)"
208,Jinja Go Bear,57.0,C,"rgb(200,43,0)"
209,On The  Bagleys,57.0,I,"rgb(200,43,0)"
210,Logan Bogans,56.5,K,"rgb(201,43,0)"
211,Holy Klay-Noli's,55.5,J,"rgb(202,42,0)"
212,Funghi Curry,54.5,H,"rgb(203,41,0)"
213,Murphys Misfits,54.5,H,"rgb(203,41,0)"
214,Embiid's Flavour Town,54.0,I,"rgb(203,41,0)"
215,Ja Raffe,51.5,M,"rgb(205,39,0)"
216,Couch potatoes,51.0,F,"rgb(206,38,0)"
217,Hard Solo,51.0,B,"rgb(206,38,0)"
218,Duncans Donuts,50.5,G,"rgb(206,38,0)"
219,Team Winchester,49.5,B,"rgb(207,37,0)"
220,Caruso BaldEagles,49.0,I,"rgb(208,37,0)"
221,KJ's DM's,44.0,I,"rgb(213,33,0)"
222,The Plasticman,44.0,K,"rgb(213,33,0)"
223,Slim Towers,43.5,E,"rgb(213,33,0)"
224,Jazzy J,42.0,I,"rgb(215,31,0)"
225,nutted In her Gasol,42.0,E,"rgb(215,31,0)"
226,Boston Ballerz,41.5,B,"rgb(215,31,0)"
227,Team Pyke,41.5,F,"rgb(215,31,0)"
228,Allen In Shorts,40.5,F,"rgb(216,30,0)"
229,OnlyFranz,40.5,F,"rgb(216,30,0)"
230,Wembanyama but 5'10,39.0,J,"rgb(218,29,0)"
231,Cossi's Carnts,38.5,D,"rgb(218,29,0)"
232,Boswell Pioneers,37.5,A,"rgb(219,28,0)"
233,Insert Team Name Here,36.0,K,"rgb(221,27,0)"
234,Hispanic Deepers,35.0,J,"rgb(222,26,0)"
235,New York NateThrobinsons,34.0,B,"rgb(223,25,0)"
236,Sweet Home Wembanyama,33.0,A,"rgb(224,24,0)"
237,Team Cumming,33.0,H,"rgb(224,24,0)"
238,Eastcoast  Losers,32.5,E,"rgb(224,24,0)"
239,Mo' Money Mo Bamba,32.5,I,"rgb(224,24,0)"
240,OG Tassie Devils,32.5,D,"rgb(224,24,0)"
241,Flint Tropics,32.0,M,"rgb(225,24,0)"
242,Margaret River Wyld Stallyns,30.0,E,"rgb(227,22,0)"
243,Ben Simmons For 3,27.0,M,"rgb(230,20,0)"
244,Dallas Double D's,27.0,A,"rgb(230,20,0)"
245,Asian Zing,25.5,M,"rgb(231,19,0)"
246,G-Town DownTowners,25.5,C,"rgb(231,19,0)"
247,MrPenPen,25.5,K,"rgb(231,19,0)"
248,Gaza Gunners,23.5,C,"rgb(233,17,0)"
249,Knock the  Toppin off,22.5,C,"rgb(234,16,0)"
250,Bair Jordan,16.0,D,"rgb(241,11,0)"
251,Motor Cade,16.0,H,"rgb(241,11,0)"
252,Zions Illegitimate Child,14.5,B,"rgb(242,10,0)"
253,VICTOR-IOUS,12.5,B,"rgb(244,8,0)"
254,Seattle Superchronics,12.0,G,"rgb(245,8,0)"
255,Browntown,11.0,M,"rgb(246,7,0)"
256,Arizoey Magic,7.0,G,"rgb(250,4,0)"
257,Bird Sprog,6.5,K,"rgb(250,4,0)"
258,Team Ashton,2.0,L,"rgb(255,0,0)"
