,Team,Matchups Score,League,Color
0,Team Pyke,248.5,F,"rgb(0,200,0)"
1,Boston Bombers,246.5,C,"rgb(3,198,0)"
2,Edward St Easybeats,246.5,E,"rgb(3,198,0)"
3,VICTOR-IOUS,246.0,B,"rgb(3,197,0)"
4,OKC-OOPS,244.5,L,"rgb(5,196,0)"
5,BIG BULLS,244.0,M,"rgb(5,196,0)"
6,Duncans Donuts,243.5,G,"rgb(6,195,0)"
7,Valentuna Sandwhich,242.0,M,"rgb(7,194,0)"
8,Insert Team Name Here,241.5,K,"rgb(8,194,0)"
9,Miami Heat Checks,238.5,A,"rgb(11,191,0)"
10,BigZ Spurs,238.0,G,"rgb(11,191,0)"
11,Ol' Dirty Baskets,237.5,B,"rgb(12,191,0)"
12,Team irwin,237.0,C,"rgb(12,190,0)"
13,Funghi Curry,234.0,H,"rgb(15,188,0)"
14,Jazzy J,233.0,I,"rgb(16,187,0)"
15,Lucky Punters,231.5,B,"rgb(18,186,0)"
16,Team luka slo,230.0,D,"rgb(20,185,0)"
17,Hispanic Deepers,228.5,J,"rgb(21,183,0)"
18,Taiwan Troopers,228.5,M,"rgb(21,183,0)"
19,Doris' Big Old Giddies,227.5,D,"rgb(22,183,0)"
20,Seattle SuperChronics,226.0,H,"rgb(24,181,0)"
21,Bronsexual Lebrolites,224.5,J,"rgb(25,180,0)"
22,ANUS BLEACHING SEA LIONS,223.5,K,"rgb(26,179,0)"
23,ROUdiamondGH,223.0,H,"rgb(27,179,0)"
24,DominAyton Curry,222.5,L,"rgb(27,178,0)"
25,Houston Mob Squad,220.5,B,"rgb(29,177,0)"
26,GOLD COAST  GREMLINS,220.0,C,"rgb(30,176,0)"
27,The Great Hali,219.0,H,"rgb(31,176,0)"
28,Panania Rockets,218.5,D,"rgb(31,175,0)"
29,Ja 'his real name is Clarence',217.5,C,"rgb(32,174,0)"
30,Ben Simmons Construction,216.5,G,"rgb(33,174,0)"
31,Bames Jond,216.0,L,"rgb(34,173,0)"
32,LA Anthony Day-to-Davis,215.5,B,"rgb(34,173,0)"
33,War Grimes in Garza,214.0,A,"rgb(36,172,0)"
34,Darwin Esky,213.5,L,"rgb(37,171,0)"
35,Boswell Pioneers,213.0,A,"rgb(37,171,0)"
36,Team James,213.0,E,"rgb(37,171,0)"
37,Margaret River Wyld Stallyns,211.0,E,"rgb(39,169,0)"
38,The Hairy Skips,211.0,H,"rgb(39,169,0)"
39,Lukatmenowmum,209.0,C,"rgb(41,168,0)"
40,Shanghai Sharks,208.5,M,"rgb(42,167,0)"
41,Team Becks,207.0,G,"rgb(43,166,0)"
42,Its on like  Doncic Kong,206.5,H,"rgb(44,166,0)"
43,Flex n Affect,205.5,E,"rgb(45,165,0)"
44,The David Cahill's,205.0,K,"rgb(45,164,0)"
45,LIL UZI YURT,204.5,E,"rgb(46,164,0)"
46,$picy ball,203.5,L,"rgb(47,163,0)"
47,Joeys Mad Lads,202.5,F,"rgb(48,162,0)"
48,Allen Iversons Ego,202.0,I,"rgb(48,162,0)"
49,Indiana Monstars,201.5,A,"rgb(49,162,0)"
50,Luka Deez Nuts,201.5,F,"rgb(49,162,0)"
51,Luka Warm,201.0,G,"rgb(49,161,0)"
52,OnlyFranz,198.0,F,"rgb(53,159,0)"
53,Hard Solo,197.5,B,"rgb(53,158,0)"
54,Average  Joes,197.0,D,"rgb(54,158,0)"
55,The Flaming Galahs,197.0,C,"rgb(54,158,0)"
56,Dallas Double D's,196.5,A,"rgb(54,157,0)"
57,Matisse Fly Bulls,196.5,J,"rgb(54,157,0)"
58,Big Bam Theory,193.5,M,"rgb(57,155,0)"
59,You Don't Mess with the Ant-Man,193.0,A,"rgb(58,155,0)"
60,Mamba Mentality,192.0,E,"rgb(59,154,0)"
61,KJ's DM's,189.5,I,"rgb(61,152,0)"
62,Sweet Home Wembanyama,189.0,A,"rgb(62,151,0)"
63,Giddey Up Chumps,188.0,F,"rgb(63,151,0)"
64,OG Tassie Devils,186.0,D,"rgb(65,149,0)"
65,Landsdale Smith,185.5,K,"rgb(65,149,0)"
66,New York NateThrobinsons,185.0,B,"rgb(66,148,0)"
67,Red Dragons,184.0,G,"rgb(67,147,0)"
68,ChixnGrog,183.5,D,"rgb(67,147,0)"
69,Livin' La Vida Luka,183.5,E,"rgb(67,147,0)"
70,The Blue Mountain Goats,183.0,C,"rgb(68,147,0)"
71,Team Rah to the Max,182.0,F,"rgb(69,146,0)"
72,The Chet Code,180.5,M,"rgb(71,145,0)"
73,Phoenix Gray Hammers,178.5,B,"rgb(73,143,0)"
74,The Book of  Irving,177.5,I,"rgb(74,142,0)"
75,Josh Kiddey,177.0,D,"rgb(74,142,0)"
76,Signature Moves,176.5,I,"rgb(75,141,0)"
77,Keyonte George  Costanza,174.5,J,"rgb(77,140,0)"
78,Tennant Creek Big Horses,174.5,I,"rgb(77,140,0)"
79,Harrison the league,173.0,F,"rgb(78,138,0)"
80,Globetrotter Gunts,170.0,K,"rgb(81,136,0)"
81,Don't Go Blakin My Heart,169.0,H,"rgb(82,135,0)"
82,Flint Michigan tropics,167.5,L,"rgb(84,134,0)"
83,Kobe Beans,167.5,J,"rgb(84,134,0)"
84,Mo' Money Mo Bamba,167.5,I,"rgb(84,134,0)"
85,Atlanta  Waivers,167.0,D,"rgb(84,134,0)"
86,Minnesota  Lumberjacks,167.0,A,"rgb(84,134,0)"
87,Slim Towers,165.0,E,"rgb(87,132,0)"
88,Round Mound of Rebound,164.5,J,"rgb(87,132,0)"
89,Sideline Out of Bounds,164.5,K,"rgb(87,132,0)"
90,Kingcalvin,158.0,L,"rgb(94,126,0)"
91,Balls Deep,157.5,M,"rgb(94,126,0)"
92,Caruso BaldEagles,157.0,I,"rgb(95,126,0)"
93,Jimmy Brings,156.5,A,"rgb(95,125,0)"
94,Daryl's Discount Dimes,155.5,E,"rgb(96,124,0)"
95,Who what where when Kawhi,154.5,L,"rgb(97,124,0)"
96,Team Hewish,154.0,M,"rgb(98,123,0)"
97,Gaza Gunners,153.0,C,"rgb(99,122,0)"
98,The Sengunies,152.0,F,"rgb(100,122,0)"
99,Browntown,150.0,M,"rgb(102,120,0)"
100,GIDDEY UPS - MAILMAN 2.0,147.0,L,"rgb(105,117,0)"
101,Jazz,147.0,A,"rgb(105,117,0)"
102,Pablo's Players,146.5,K,"rgb(106,117,0)"
103,Dort Stop Believin,146.0,C,"rgb(106,117,0)"
104,Little Buff Boys,146.0,A,"rgb(106,117,0)"
105,Moon Shooters,146.0,D,"rgb(106,117,0)"
106,OG Wan Unobi,146.0,H,"rgb(106,117,0)"
