,Team,Matchups Score,League,Color
107,Ja Raffe,145.5,M,"rgb(107,116,0)"
108,Wembanyama but 5'10,144.5,J,"rgb(108,115,0)"
109,In Touch With The Common Man,144.0,I,"rgb(108,115,0)"
110,Miami Butlers,143.5,B,"rgb(109,115,0)"
111,The Plasticman,143.5,K,"rgb(109,115,0)"
112,Please Hammer don't Huerter,142.5,G,"rgb(110,114,0)"
113,Bank Town Squids,141.5,B,"rgb(111,113,0)"
114,Mr. 4th Quarter,141.0,M,"rgb(111,113,0)"
115,Scottie Pippings,140.5,F,"rgb(112,112,0)"
116,Team Z3LLY,138.5,I,"rgb(114,111,0)"
117,Joe Hablo Ingles,138.0,K,"rgb(114,110,0)"
118,Townsville Crocs,137.5,F,"rgb(115,110,0)"
119,Chi Cargo Pants,136.0,A,"rgb(116,109,0)"
120,Uncle Ben,135.5,G,"rgb(117,108,0)"
121,Memphis 12 Guage,134.5,A,"rgb(118,107,0)"
122,Boston Ballerz,133.5,B,"rgb(119,107,0)"
123,The Mighty Bears,133.0,D,"rgb(119,106,0)"
124,Donnys Beans,132.5,J,"rgb(120,106,0)"
125,Team Cumming,132.5,H,"rgb(120,106,0)"
126,Fox Force 5,131.5,J,"rgb(121,105,0)"
127,Team Alcobio,129.5,L,"rgb(123,103,0)"
128,Lewisham Loose Units,129.0,B,"rgb(124,103,0)"
129,Bair Jordan,127.5,D,"rgb(125,102,0)"
130,nutted In her Gasol,127.0,E,"rgb(126,101,0)"
131,Team Cooke,124.5,B,"rgb(128,99,0)"
132,Boston Beer Bellies,123.5,A,"rgb(129,98,0)"
133,"Brooks, Crooks and Sooks",123.5,F,"rgb(129,98,0)"
134,Boots Manuva,122.5,E,"rgb(130,98,0)"
135,Triple Towers,121.5,L,"rgb(131,97,0)"
136,Jimmy ButtPlugs,120.5,E,"rgb(132,96,0)"
137,Moves Like Agger,120.5,L,"rgb(132,96,0)"
138,Zions Illegitimate Child,120.5,B,"rgb(132,96,0)"
139,Desmond’s  Dynasty,119.0,J,"rgb(134,95,0)"
140,FIGJAM,118.0,L,"rgb(135,94,0)"
141,WORST EVER,118.0,G,"rgb(135,94,0)"
142,Brooklyn 99,117.0,A,"rgb(136,93,0)"
143,SavedByTheKelle,117.0,C,"rgb(136,93,0)"
144,Slovenia. Beer. Dallas,117.0,L,"rgb(136,93,0)"
145,Team Blah,116.5,M,"rgb(136,93,0)"
146,Team Damon,116.5,H,"rgb(136,93,0)"
147,Allen In Shorts,116.0,F,"rgb(137,92,0)"
148,Mos Eisley Banthas,115.5,C,"rgb(138,92,0)"
149,Jaylen CAN go left!,115.0,J,"rgb(138,92,0)"
150,H I,114.5,H,"rgb(139,91,0)"
151,TankCity Unicorns,114.5,C,"rgb(139,91,0)"
152,Under my  Clint Capela,113.0,H,"rgb(140,90,0)"
153,North Noosa Leather Jackets,112.0,A,"rgb(141,89,0)"
154,Cossi's Carnts,111.5,D,"rgb(142,89,0)"
155,The Snack Randolphs,111.5,L,"rgb(142,89,0)"
156,James and the Giant Overreach,110.5,H,"rgb(143,88,0)"
157,Peeattle Poopersonics,110.5,J,"rgb(143,88,0)"
158,The Shrimp Nets,109.0,F,"rgb(144,87,0)"
159,On The  Bagleys,107.5,I,"rgb(146,86,0)"
160,DY PJ  Birch,107.0,E,"rgb(146,85,0)"
161,The Wrath,107.0,I,"rgb(146,85,0)"
162,Motor Cade,105.0,H,"rgb(148,84,0)"
163,Meep Meep,104.5,I,"rgb(149,83,0)"
164,Gladysisahoe Dazz,104.0,F,"rgb(149,83,0)"
165,BoxHill Benny's Brickies,103.5,A,"rgb(150,82,0)"
166,HARDEN UP!,103.0,B,"rgb(150,82,0)"
167,Logan Bogans,102.5,K,"rgb(151,82,0)"
168,Quit Javing me turky,102.5,G,"rgb(151,82,0)"
169,Rodney Rodgers,101.5,K,"rgb(152,81,0)"
170,Diamond  D Dynasty,100.5,E,"rgb(153,80,0)"
171,Taco Corp,100.0,A,"rgb(153,80,0)"
172,Team Mercer,99.5,M,"rgb(154,79,0)"
173,Kobe Wan Kenobi,99.0,F,"rgb(155,79,0)"
174,Wham Bam Thankyou Ma’am,98.5,K,"rgb(155,78,0)"
175,Holy Klay-Noli's,97.0,J,"rgb(157,77,0)"
176,JR  Swishes,95.5,D,"rgb(158,76,0)"
177,Mile High Mutombo's,95.5,H,"rgb(158,76,0)"
178,Adelaide Shed Shots,95.0,E,"rgb(159,75,0)"
179,Asian Zing,95.0,M,"rgb(159,75,0)"
180,Aussie Goats,95.0,M,"rgb(159,75,0)"
181,Los Angeles Ballerz,95.0,F,"rgb(159,75,0)"
182,punting  everything,91.0,G,"rgb(163,72,0)"
183,Team Wallace,90.5,I,"rgb(163,72,0)"
184,Couch potatoes,89.0,F,"rgb(165,71,0)"
185,Wizbangs' Warriors,87.0,D,"rgb(167,69,0)"
186,Good Problems,86.5,K,"rgb(167,69,0)"
187,I Felton Her Booby,86.5,D,"rgb(167,69,0)"
188,AY JARAMBA!,85.5,E,"rgb(168,68,0)"
189,Brisbane Noble’s Nobs,85.5,B,"rgb(168,68,0)"
190,Bruce brown-eye,85.5,C,"rgb(168,68,0)"
191,Splash Bros 3011,85.5,G,"rgb(168,68,0)"
192,Sleepers,84.0,J,"rgb(170,67,0)"
193,All the  Ingles ladies,83.5,J,"rgb(170,66,0)"
194,MrPenPen,83.5,K,"rgb(170,66,0)"
195,Team No Lackin,83.0,G,"rgb(171,66,0)"
196,Victor Oladeepthr*ats,82.5,B,"rgb(172,65,0)"
197,Yippie Kyrie Motherf**ker,80.0,A,"rgb(174,63,0)"
198,Wandering Bears,78.5,D,"rgb(176,62,0)"
199,Kripsy Strips Porzingerbox,77.0,J,"rgb(177,61,0)"
200,Beau_Brigade,71.5,J,"rgb(183,56,0)"
201,Weekend at Boogie's,70.5,C,"rgb(184,56,0)"
202,Fresh Prince  FP,69.0,G,"rgb(185,54,0)"
203,Philderbeasts,66.0,I,"rgb(189,52,0)"
204,Team Nicholson,66.0,C,"rgb(189,52,0)"
205,New Orleans Zionlyfans,65.5,C,"rgb(189,52,0)"
206,The A**L Embiids,64.5,B,"rgb(190,51,0)"
207,The IBINATORS,62.5,H,"rgb(192,49,0)"
208,T-I-M….Team!!,61.5,M,"rgb(193,48,0)"
209,Canada Demon,59.5,I,"rgb(195,47,0)"
210,'22 Spirit,57.5,D,"rgb(197,45,0)"
211,Greek Freaks,57.0,D,"rgb(198,45,0)"
212,Rated PG13,56.0,L,"rgb(199,44,0)"
213,Shanghai  Sharks,52.5,H,"rgb(202,41,0)"
214,Plumlees Crack,50.5,B,"rgb(204,40,0)"
215,Embiid's Flavour Town,50.0,I,"rgb(205,39,0)"
216,ESU,49.0,L,"rgb(206,38,0)"
217,Brunson Burner,48.5,M,"rgb(207,38,0)"
218,It's Always F'd In Philadelphia,48.0,E,"rgb(207,37,0)"
219,The Gee Whizzles,46.5,I,"rgb(209,36,0)"
220,Bunbury  Munno23,46.0,K,"rgb(209,36,0)"
221,HotDawgs,45.5,M,"rgb(210,35,0)"
222,Revenge of  The Cedi,45.5,H,"rgb(210,35,0)"
223,pingu123,45.5,J,"rgb(210,35,0)"
224,Knock the  Toppin off,44.5,C,"rgb(211,35,0)"
225,Team Ashton,43.0,L,"rgb(212,33,0)"
226,Down Right Sneaky,42.5,J,"rgb(213,33,0)"
227,Helltown  Hops,42.5,H,"rgb(213,33,0)"
228,It’s the Final  KAT-Towns,42.5,G,"rgb(213,33,0)"
229,Rikroller,42.5,E,"rgb(213,33,0)"
230,Ben Simmons For 3,42.0,M,"rgb(213,33,0)"
231,Boomtown Bulls,40.5,K,"rgb(215,31,0)"
232,KING JAMIS,40.5,G,"rgb(215,31,0)"
233,Frank Reynolds,40.0,K,"rgb(215,31,0)"
234,Karl Anthony's CLOWNS,36.5,F,"rgb(219,28,0)"
235,The Bricks,36.0,G,"rgb(219,28,0)"
236,G-Town DownTowners,34.0,C,"rgb(221,26,0)"
237,Preying Domantas,32.5,F,"rgb(223,25,0)"
238,Seattle Superchronics,30.5,G,"rgb(225,23,0)"
239,50 Shades of Shai,28.5,A,"rgb(227,22,0)"
240,Flint Tropics,28.0,M,"rgb(228,21,0)"
241,Lil Bow Yaus,26.0,J,"rgb(230,20,0)"
242,Murphys Misfits,26.0,H,"rgb(230,20,0)"
243,Bird Sprog,22.0,K,"rgb(234,16,0)"
244,Lick DeBallZachs,20.5,D,"rgb(235,15,0)"
245,FrostyFlyers,19.5,F,"rgb(236,14,0)"
246,Jackie Daytona,18.5,K,"rgb(237,14,0)"
247,Temporary Linsanity,18.5,L,"rgb(237,14,0)"
248,Bench Boys,17.0,C,"rgb(239,12,0)"
249,LaMarc Gasoldridge,15.5,K,"rgb(241,11,0)"
250,My team sucks. Damn.,14.5,I,"rgb(242,10,0)"
251,Champ is here,12.0,E,"rgb(244,8,0)"
252,Shwin's Ballsdeep,12.0,L,"rgb(244,8,0)"
253,DurdyDurdsDuds,10.5,D,"rgb(246,7,0)"
254,Saint Lunatics,9.5,G,"rgb(247,6,0)"
255,Team Winchester,7.5,B,"rgb(249,5,0)"
256,Eastcoast  Losers,7.0,E,"rgb(249,4,0)"
257,Arizoey Magic,2.0,G,"rgb(254,0,0)"
258,Re dirkulous,2.0,I,"rgb(254,0,0)"
259,Jinja Go Bear,1.0,C,"rgb(255,0,0)"
